,date,state,fips,cases,deaths
7003,2020-07-08,California,6,296304,6708
7004,2020-07-08,Colorado,8,35185,1707
7005,2020-07-08,Connecticut,9,47108,4343
7006,2020-07-08,Delaware,10,12462,515
7007,2020-07-08,District of Columbia,11,10642,564
7008,2020-07-08,Florida,12,223775,3888
7009,2020-07-08,Georgia,13,96538,2871
7010,2020-07-08,Guam,66,1276,6
7011,2020-07-08,Hawaii,15,1076,19
7012,2020-07-08,Idaho,16,9004,98
7013,2020-07-08,Illinois,17,151055,7315
7014,2020-07-08,Indiana,18,50309,2732
7015,2020-07-08,Iowa,19,32716,739
7016,2020-07-08,Kansas,20,17807,291
7017,2020-07-08,Kentucky,21,18204,634
7018,2020-07-08,Louisiana,22,70259,3339
7019,2020-07-08,Maine,23,3460,110
7020,2020-07-08,Maryland,24,71455,3275
7021,2020-07-08,Massachusetts,25,110602,8243
7022,2020-07-08,Michigan,26,74660,6266
7023,2020-07-08,Minnesota,27,39627,1523
7024,2020-07-08,Mississippi,28,32888,1188
7025,2020-07-08,Missouri,29,26343,1089
7026,2020-07-08,Montana,30,1371,23
7027,2020-07-08,Nebraska,31,20437,291
7028,2020-07-08,Nevada,32,24378,556
7029,2020-07-08,New Hampshire,33,5952,386
7030,2020-07-08,New Jersey,34,175986,15423
7031,2020-07-08,New Mexico,35,14017,527
7032,2020-07-08,New York,36,403619,31945
7033,2020-07-08,North Carolina,37,77661,1470
7034,2020-07-08,North Dakota,38,3975,89
7035,2020-07-08,Northern Mariana Islands,69,31,2
7036,2020-07-08,Ohio,39,60181,2991
7037,2020-07-08,Oklahoma,40,17893,407
7038,2020-07-08,Oregon,41,10872,228
7039,2020-07-08,Pennsylvania,42,96817,6864
7040,2020-07-08,Puerto Rico,72,8745,159
7041,2020-07-08,Rhode Island,44,17204,971
7042,2020-07-08,South Carolina,45,48909,884
7043,2020-07-08,South Dakota,46,7242,98
7044,2020-07-08,Tennessee,47,54756,678
7045,2020-07-08,Texas,48,229116,2935
7046,2020-07-08,Utah,49,26921,201
7047,2020-07-08,Vermont,50,1256,56
7048,2020-07-08,Virgin Islands,78,144,6
7049,2020-07-08,Virginia,51,67274,1904
7050,2020-07-08,Washington,53,39661,1395
7051,2020-07-08,West Virginia,54,3707,95
7052,2020-07-08,Wisconsin,55,36526,818
7053,2020-07-08,Wyoming,56,1740,21
7054,2020-07-09,Alabama,1,49174,1068
7055,2020-07-09,Alaska,2,1521,15
7056,2020-07-09,Arizona,4,112783,2047
7057,2020-07-09,Arkansas,5,26052,309
7058,2020-07-09,California,6,303516,6825
7059,2020-07-09,Colorado,8,35604,1707
7060,2020-07-09,Connecticut,9,47209,4348
7061,2020-07-09,Delaware,10,12531,517
7062,2020-07-09,District of Columbia,11,10679,568
7063,2020-07-09,Florida,12,232710,4008
7064,2020-07-09,Georgia,13,98693,2880
7065,2020-07-09,Guam,66,1278,6
7066,2020-07-09,Hawaii,15,1112,19
7067,2020-07-09,Idaho,16,9598,101
7068,2020-07-09,Illinois,17,152188,7333
7069,2020-07-09,Indiana,18,50829,2739
7070,2020-07-09,Iowa,19,33316,742
7071,2020-07-09,Kansas,20,18031,294
7072,2020-07-09,Kentucky,21,18576,640
7073,2020-07-09,Louisiana,22,72102,3355
7074,2020-07-09,Maine,23,3486,111
7075,2020-07-09,Maryland,24,72037,3288
7076,2020-07-09,Massachusetts,25,110897,8268
7077,2020-07-09,Michigan,26,75247,6275
7078,2020-07-09,Minnesota,27,40201,1528
7079,2020-07-09,Mississippi,28,33591,1204
7080,2020-07-09,Missouri,29,27301,1095
7081,2020-07-09,Montana,30,1466,25
7082,2020-07-09,Nebraska,31,20658,294
7083,2020-07-09,Nevada,32,25055,574
7084,2020-07-09,New Hampshire,33,5973,387
7085,2020-07-09,New Jersey,34,176217,15448
7086,2020-07-09,New Mexico,35,14251,533
7087,2020-07-09,New York,36,404207,31979
