,date,state,fips,cases,deaths,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,percent pop affected
11377,2020-06-16,WV,54,2341,88,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.001366087949293335
11378,2020-06-17,WV,54,2376,88,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0013857722136923743
11379,2020-06-18,WV,54,2418,88,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0014093933309712217
11380,2020-06-19,WV,54,2468,88,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.001437513708684135
11381,2020-06-20,WV,54,2500,88,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0014555107504203996
11382,2020-06-21,WV,54,2543,89,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0014802566828077636
11383,2020-06-22,WV,54,2571,90,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0014965665018812533
11384,2020-06-23,WV,54,2593,92,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0015100642831834517
11385,2020-06-24,WV,54,2629,92,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0015303109551367494
11386,2020-06-25,WV,54,2693,92,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0015663050386092786
11387,2020-06-26,WV,54,2729,92,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0015865517105625763
11388,2020-06-27,WV,54,2781,93,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0016163593109382644
11389,2020-06-28,WV,54,2831,93,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0016444796886511779
11390,2020-06-29,WV,54,2869,93,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0016658511757129922
11391,2020-06-30,WV,54,2904,93,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0016855354401120316
11392,2020-07-01,WV,54,2979,93,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0017277160066814018
11393,2020-07-02,WV,54,3053,93,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0017693341656965136
11394,2020-07-03,WV,54,3126,93,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0018103899171573673
11395,2020-07-04,WV,54,3205,94,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0018553825214980288
11396,2020-07-05,WV,54,3335,95,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.001929057911105862
11397,2020-07-06,WV,54,3442,95,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0019892355194114967
11398,2020-07-07,WV,54,3505,95,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0020246671953297675
11399,2020-07-08,WV,54,3707,95,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.002138273521289938
11400,2020-07-09,WV,54,3826,95,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.002205200020246672
11401,2020-07-10,WV,54,3983,95,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0022934980062652203
11402,2020-07-11,WV,54,4146,96,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.002385732845163576
11403,2020-07-12,WV,54,4244,96,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0024408487854808867
11404,2020-07-13,WV,54,4313,97,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0024802173142789655
11405,2020-07-14,WV,54,4407,97,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0025330836243792425
11406,2020-07-15,WV,54,4557,98,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0026180071650722414
11407,2020-07-16,WV,54,4657,99,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0026748103280523263
11408,2020-07-17,WV,54,4783,100,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0027462360874431265
11409,2020-07-18,WV,54,4922,100,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.002824410737485026
11410,2020-07-19,WV,54,5042,100,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0028918996439960183
11411,2020-07-20,WV,54,5142,100,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.002948140399421845
11412,2020-07-21,WV,54,5199,101,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0029807600375688246
11413,2020-07-22,WV,54,5461,102,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.003128673224338749
11414,2020-07-23,WV,54,5550,103,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0031792899042219934
11415,2020-07-24,WV,54,5695,103,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0032608389995894423
11416,2020-07-25,WV,54,5821,103,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0033317023514259844
11417,2020-07-26,WV,54,5960,103,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0034098770014678835
11418,2020-07-27,WV,54,6054,106,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0034644305342309356
11419,2020-07-28,WV,54,6173,111,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.003534169070958961
11420,2020-07-29,WV,54,6326,112,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0036207798343147347
11421,2020-07-30,WV,54,6422,115,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.003676458182186303
11422,2020-07-31,WV,54,6642,116,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0038007502516773806
11423,2020-08-01,WV,54,6735,116,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0038530541542233995
11424,2020-08-02,WV,54,6854,117,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.003920543060734392
11425,2020-08-03,WV,54,6973,117,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,0.0039874695596911255
