,state,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,date,fips,cases,deaths,percent pop affected
2897,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-04,19,68757,1158,0.021986886173876126
2898,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-05,19,69690,1165,0.02228249760208815
2899,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-06,19,70210,1167,0.022446656288818655
2900,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-07,19,70537,1170,0.022550434768935642
2901,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-08,19,71018,1185,0.0227064169693539
2902,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-09,19,71594,1204,0.022893532713807254
2903,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-10,19,72548,1208,0.023194804786389293
2904,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-11,19,73399,1216,0.02346494331493624
2905,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-12,19,74204,1218,0.02371872887085869
2906,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-13,19,74675,1220,0.023867478025693036
2907,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-14,19,75069,1233,0.023995471484503986
2908,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-15,19,75722,1234,0.024201141563281285
2909,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-16,19,76680,1248,0.02450681635926223
2910,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-17,19,77865,1257,0.024882305769140054
2911,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-18,19,78839,1264,0.025190810887306004
2912,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-19,19,79785,1265,0.02548862367721748
2913,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-20,19,80410,1265,0.025685173828954196
2914,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-21,19,81006,1284,0.025878579178263125
2915,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-22,19,81674,1293,0.026091482302624338
2916,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-23,19,82956,1298,0.026496218375080587
2917,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-24,19,83993,1303,0.026823906788056042
2918,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-25,19,85031,1312,0.027153167602245388
2919,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-26,19,85908,1314,0.027429595735647908
2920,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-27,19,86624,1316,0.027655392549963048
2921,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-28,19,87256,1324,0.027856659905341447
2922,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-29,19,88234,1341,0.0281695677469063
2923,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-30,19,89248,1358,0.02849379687721119
2924,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-10-01,19,90483,1366,0.028884695818985173
2925,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-10-02,19,91483,1377,0.029202635344434485
2926,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-10-03,19,92302,1381,0.029461452584241394
2927,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-10-04,19,92744,1387,0.029602339733006276
2928,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-10-05,19,93261,1399,0.02976869978143623
2929,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-10-06,19,93909,1414,0.02997720018239854
2930,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-10-07,19,95205,1419,0.030386338978253692
